property_id,street_address,city,state,zip_code,county,latitude,longitude,year_built,square_footage,construction_type,roof_type,stories,occupancy_type,flood_zone,wind_zone,property_value,created_at,updated_at
PROP-0000039,4594 Oak St,Naples,FL,33747,Naples County,36.8560957,-118.4437023,2018,3900,FRAME,SHINGLE,2,VACANT,X500,4,563802.42,2020-09-16T00:00:00,2020-09-29T00:00:00
PROP-0000040,6665 Cypress Ave,Asheville,NC,28890,Asheville County,36.6696673,-117.3240117,1964,4400,CONCRETE,SHINGLE,3,PRIMARY,X,5,926500.12,2020-05-13T00:00:00,2020-10-18T00:00:00
PROP-0000041,4971 Laurel Way,Greenville,SC,29482,Greenville County,35.5574645,-97.1762399,2007,1400,MASONRY,WOOD_SHAKE,1,PRIMARY,V,2,326815.24,2022-06-25T00:00:00,2022-07-14T00:00:00
PROP-0000042,9829 Cypress Ln,New Orleans,LA,70039,New Orleans County,29.8977831,-111.5603916,2002,3700,FRAME,WOOD_SHAKE,1,RENTAL,VE,4,242982.35,2022-07-11T00:00:00,2022-09-06T00:00:00
PROP-0000043,1077 Cedar Ln,Shreveport,LA,70982,Shreveport County,40.660273,-104.6772483,1968,3700,MANUFACTURED,METAL,2,RENTAL,X500,4,194227.43,2020-05-26T00:00:00,2020-06-05T00:00:00
PROP-0000044,1596 Pine St,Huntsville,AL,35883,Huntsville County,25.6839384,-90.7241715,1982,3800,WOOD,WOOD_SHAKE,2,RENTAL,V,5,698956.68,2020-02-22T00:00:00,2020-06-26T00:00:00
PROP-0000045,5560 Magnolia Ave,San Antonio,TX,76052,San Antonio County,31.9979665,-102.1993631,1994,5000,STEEL,SLATE,1,PRIMARY,C,3,539048.78,2022-04-16T00:00:00,2022-07-28T00:00:00
PROP-0000046,6870 Oak Dr,Los Angeles,CA,93356,Los Angeles County,35.5847758,-102.0663035,2019,3600,FRAME,TILE,1,SECONDARY,B,4,1330802.2,2022-08-04T00:00:00,2022-12-06T00:00:00
PROP-0000047,2694 Elm St,Houston,TX,78562,Houston County,26.5845564,-80.3406859,1980,1500,STEEL,SHINGLE,2,SECONDARY,X500,3,802598.26,2023-12-24T00:00:00,2024-03-02T00:00:00
PROP-0000048,7583 Willow Blvd,Montgomery,AL,36234,Montgomery County,40.6717585,-101.6374008,2010,1600,FRAME,METAL,2,VACANT,C,5,459385.18,2021-05-14T00:00:00,2021-05-14T00:00:00
PROP-0000049,8122 Laurel Blvd,Wilmington,NC,28478,Wilmington County,33.2338036,-109.3726419,2024,4200,STEEL,FLAT,3,SECONDARY,VE,5,623818.61,2023-09-13T00:00:00,2023-12-27T00:00:00
PROP-0000050,6346 Palm Blvd,Orlando,FL,33514,Orlando County,27.1461866,-81.524442,2010,2900,FRAME,FLAT,1,VACANT,A,2,662169.64,2023-12-15T00:00:00,2024-05-30T00:00:00
PROP-0000051,4442 Magnolia Way,New Orleans,LA,71020,New Orleans County,39.48001,-86.4969812,2010,4200,STEEL,METAL,2,VACANT,A,5,177157.46,2024-05-19T00:00:00,2024-10-27T00:00:00
PROP-0000052,1712 Walnut Ave,Raleigh,NC,28431,Raleigh County,36.7980198,-84.2493413,1961,1000,CONCRETE,SHINGLE,1,RENTAL,X,2,426760.35,2022-06-07T00:00:00,2022-09-20T00:00:00
PROP-0000053,1393 Birch Way,Springfield,IL,61997,Springfield County,29.0941065,-83.8355233,1971,1700,MASONRY,FLAT,2,VACANT,B,1,1356450.12,2020-12-24T00:00:00,2021-04-22T00:00:00
PROP-0000054,5761 Birch Ln,Raleigh,NC,28398,Raleigh County,29.2516698,-86.8066273,1959,2000,STEEL,FLAT,1,VACANT,C,5,500138.79,2022-06-23T00:00:00,2022-12-19T00:00:00
PROP-0000055,232 Birch St,Charlotte,NC,28973,Charlotte County,39.1582613,-84.2708636,2000,2200,WOOD,METAL,1,SECONDARY,B,2,972112.31,2021-07-16T00:00:00,2021-12-23T00:00:00
PROP-0000056,9595 Magnolia Blvd,Orlando,FL,32247,Orlando County,30.5542251,-105.7178639,2006,2000,MASONRY,SLATE,2,RENTAL,B,2,444897.52,2020-03-09T00:00:00,2020-07-10T00:00:00
PROP-0000057,1333 Cedar Dr,Wilmington,NC,28281,Wilmington County,31.2181758,-89.2099934,1964,800,CONCRETE,SLATE,1,RENTAL,B,5,621056.21,2022-08-17T00:00:00,2023-01-27T00:00:00
PROP-0000058,510 Birch Ct,Atlanta,GA,31938,Atlanta County,36.0100905,-96.0422274,1979,3700,MANUFACTURED,METAL,2,PRIMARY,V,1,1423691.38,2022-08-23T00:00:00,2022-11-08T00:00:00
PROP-0000059,8907 Cedar Way,Jackson,MS,39357,Jackson County,36.3982657,-91.3018347,1962,4200,STEEL,SLATE,2,SECONDARY,X,1,1263844.18,2021-04-25T00:00:00,2021-09-29T00:00:00
PROP-0000060,6170 Pine Pl,Huntsville,AL,36440,Huntsville County,39.5426533,-119.6283965,1954,3100,WOOD,WOOD_SHAKE,1,VACANT,B,2,1454853.76,2023-11-14T00:00:00,2024-03-09T00:00:00
PROP-0000061,9883 Oak St,Corpus Christi,TX,77141,Corpus Christi County,41.8099554,-89.3729636,1977,2100,FRAME,SLATE,1,SECONDARY,VE,3,1179603.38,2023-08-07T00:00:00,2024-01-06T00:00:00
PROP-0000062,8950 Elm Blvd,Orlando,FL,32394,Orlando County,39.7296141,-118.2006579,1968,3000,MASONRY,SLATE,1,SECONDARY,B,1,259997.13,2020-09-23T00:00:00,2021-01-08T00:00:00
PROP-0000063,7444 Walnut Ct,Los Angeles,CA,93285,Los Angeles County,26.8539182,-101.8310976,1958,4700,FRAME,WOOD_SHAKE,2,RENTAL,X500,1,166372.08,2022-09-02T00:00:00,2023-01-02T00:00:00
PROP-0000064,7367 Maple Ave,Montgomery,AL,36087,Montgomery County,27.521675,-118.4475701,1963,4700,MANUFACTURED,SLATE,2,RENTAL,X,5,833390.71,2022-10-01T00:00:00,2023-01-25T00:00:00
PROP-0000065,1974 Laurel Dr,Sacramento,CA,92767,Sacramento County,40.0975474,-105.7922029,1962,3700,STEEL,FLAT,2,RENTAL,X,3,1024453.17,2023-12-08T00:00:00,2024-03-12T00:00:00
PROP-0000066,1498 Maple Way,Lafayette,LA,70157,Lafayette County,38.8000778,-99.5196876,1958,4500,WOOD,SLATE,1,PRIMARY,X,3,1320522.47,2020-07-05T00:00:00,2020-10-21T00:00:00
PROP-0000067,1797 Birch Dr,Orlando,FL,32494,Orlando County,33.1972197,-86.7199067,1989,3000,WOOD,METAL,1,RENTAL,VE,4,1280120.33,2021-12-21T00:00:00,2022-05-29T00:00:00
PROP-0000068,3055 Elm Ln,Chicago,IL,62953,Chicago County,30.9673982,-116.0181554,1984,1700,WOOD,WOOD_SHAKE,2,SECONDARY,A,1,1139478.7,2020-02-29T00:00:00,2020-04-24T00:00:00
PROP-0000069,2678 Magnolia Ln,Montgomery,AL,36082,Montgomery County,35.1358041,-85.1329439,2008,1700,MASONRY,SLATE,1,PRIMARY,B,4,1019952.94,2021-11-29T00:00:00,2022-04-02T00:00:00
PROP-0000070,3631 Walnut Ave,Rockford,IL,61165,Rockford County,26.8851261,-94.1584127,2003,4500,STEEL,SLATE,2,PRIMARY,VE,4,1477912.83,2021-07-13T00:00:00,2021-07-27T00:00:00
PROP-0000071,2348 Walnut Ln,Tampa,FL,32951,Tampa County,27.0397338,-102.1150455,1988,3500,MASONRY,TILE,1,SECONDARY,C,1,643841.07,2021-03-08T00:00:00,2021-03-18T00:00:00
PROP-0000072,5229 Birch Way,Birmingham,AL,36861,Birmingham County,37.0614823,-105.6214658,2008,1500,STEEL,SHINGLE,3,SECONDARY,X500,3,205144.43,2020-06-08T00:00:00,2020-07-05T00:00:00
PROP-0000073,1388 Palm Ln,Greenville,SC,29538,Greenville County,30.6621666,-116.6021608,2001,4000,MANUFACTURED,SHINGLE,2,SECONDARY,C,3,1112878.33,2022-12-09T00:00:00,2023-05-23T00:00:00
PROP-0000074,4293 Pine Blvd,Baton Rouge,LA,70929,Baton Rouge County,37.92366,-95.1576035,1963,1900,MANUFACTURED,FLAT,2,VACANT,C,3,294359.51,2020-10-26T00:00:00,2020-11-12T00:00:00
PROP-0000075,9789 Oak Ct,Hattiesburg,MS,39419,Hattiesburg County,30.2769335,-104.11579,1988,1100,CONCRETE,METAL,1,PRIMARY,X,4,904067.76,2021-07-16T00:00:00,2021-07-26T00:00:00
PROP-0000076,7892 Willow Blvd,Gulfport,MS,38667,Gulfport County,26.7595319,-84.4384193,1991,2900,MANUFACTURED,SHINGLE,2,SECONDARY,A,2,1084822.82,2023-05-24T00:00:00,2023-09-13T00:00:00
PROP-0000077,4734 Palm Way,San Francisco,CA,94953,San Francisco County,36.5412612,-121.6959172,1996,4800,MANUFACTURED,METAL,1,PRIMARY,X,3,437834.01,2022-02-02T00:00:00,2022-07-20T00:00:00
PROP-0000078,9647 Pecan Blvd,Springfield,IL,62954,Springfield County,30.2739395,-95.1335924,1992,5000,STEEL,TILE,2,PRIMARY,B,5,614884.61,2020-06-15T00:00:00,2020-09-07T00:00:00
PROP-0000079,7037 Willow Ct,Lake Charles,LA,70056,Lake Charles County,30.2507232,-82.1485502,1961,2900,STEEL,TILE,1,SECONDARY,V,1,500024.78,2023-08-16T00:00:00,2023-09-10T00:00:00
PROP-0000080,2247 Birch Way,Los Angeles,CA,90930,Los Angeles County,28.0743814,-93.5147918,1993,4700,MASONRY,WOOD_SHAKE,2,VACANT,C,2,1456815.82,2024-04-18T00:00:00,2024-09-21T00:00:00
PROP-0000081,4018 Elm Pl,Asheville,NC,27657,Asheville County,36.531216,-98.9015467,1979,3600,STEEL,METAL,2,VACANT,V,2,1217788.1,2022-12-29T00:00:00,2023-02-02T00:00:00
PROP-0000082,9185 Bay Ave,Charlotte,NC,28625,Charlotte County,29.8460712,-90.4228595,2011,2500,STEEL,SLATE,1,VACANT,AE,2,1239718.62,2022-01-30T00:00:00,2022-04-29T00:00:00
PROP-0000083,8324 Magnolia Dr,Jacksonville,FL,33220,Jacksonville County,31.3735154,-122.759748,1956,1400,MANUFACTURED,WOOD_SHAKE,1,SECONDARY,V,1,487368.74,2022-03-22T00:00:00,2022-07-20T00:00:00
PROP-0000084,186 Bay Ave,Lafayette,LA,70042,Lafayette County,28.6661307,-117.4211368,2007,4600,WOOD,FLAT,1,RENTAL,VE,3,253024.65,2023-06-14T00:00:00,2023-08-14T00:00:00
PROP-0000085,8289 Birch St,Montgomery,AL,36683,Montgomery County,29.1129483,-117.682619,1958,3500,FRAME,SLATE,1,VACANT,V,1,823348.07,2020-08-15T00:00:00,2020-11-15T00:00:00
PROP-0000086,8416 Willow St,Fort Worth,TX,77470,Fort Worth County,25.7400852,-106.9772219,2019,3100,CONCRETE,WOOD_SHAKE,1,PRIMARY,C,2,1120776.25,2022-11-05T00:00:00,2023-04-14T00:00:00
PROP-0000087,826 Magnolia Ct,Fort Worth,TX,79132,Fort Worth County,39.1165222,-93.8739671,1992,3800,MANUFACTURED,TILE,2,PRIMARY,X500,1,496688.45,2020-09-30T00:00:00,2020-10-11T00:00:00
PROP-0000088,8544 Palm Pl,Charleston,SC,29414,Charleston County,37.8059456,-115.591449,1990,3000,FRAME,WOOD_SHAKE,1,PRIMARY,C,4,1343070.85,2021-09-27T00:00:00,2022-01-17T00:00:00
PROP-0000089,8251 Magnolia Ln,Huntsville,AL,35264,Huntsville County,26.3417591,-97.4920549,1973,1900,WOOD,METAL,1,PRIMARY,C,3,515224.12,2022-10-13T00:00:00,2023-03-16T00:00:00
PROP-0000090,7425 Oak Ct,Mobile,AL,36965,Mobile County,29.6674411,-80.8787997,2006,1100,FRAME,WOOD_SHAKE,2,RENTAL,V,1,282746.85,2021-12-20T00:00:00,2022-05-24T00:00:00
PROP-0000091,3966 Walnut Ct,Jackson,MS,39159,Jackson County,41.1409409,-122.5750457,1966,1700,MANUFACTURED,FLAT,3,RENTAL,X500,1,894968.93,2020-05-17T00:00:00,2020-09-29T00:00:00
PROP-0000092,4666 Pine Ave,Macon,GA,30033,Macon County,33.4837473,-106.9725553,1990,4300,FRAME,METAL,2,VACANT,VE,5,485519.17,2023-08-23T00:00:00,2023-12-26T00:00:00
PROP-0000093,7506 Cedar Pl,Charleston,SC,29197,Charleston County,41.448541,-80.590715,1967,5000,CONCRETE,WOOD_SHAKE,1,RENTAL,B,2,1090768.93,2020-05-31T00:00:00,2020-11-26T00:00:00
PROP-0000094,2088 Pine Blvd,Shreveport,LA,70373,Shreveport County,25.4468285,-99.6230568,2015,3100,STEEL,SLATE,1,PRIMARY,AE,3,645387.17,2021-04-04T00:00:00,2021-08-04T00:00:00
PROP-0000095,1308 Cedar Ct,Sacramento,CA,94119,Sacramento County,32.6495664,-94.0752044,2002,3000,MASONRY,SLATE,2,SECONDARY,V,4,794066.58,2023-03-23T00:00:00,2023-04-06T00:00:00
PROP-0000096,2797 Cedar Ct,Fort Worth,TX,79538,Fort Worth County,30.8823924,-82.6002216,1969,2600,FRAME,METAL,1,RENTAL,V,3,952488.16,2021-09-14T00:00:00,2021-10-07T00:00:00
PROP-0000097,2904 Pecan Ct,San Francisco,CA,95382,San Francisco County,25.7003032,-85.9936276,2024,1300,FRAME,WOOD_SHAKE,2,RENTAL,VE,5,671553.23,2020-11-11T00:00:00,2021-04-23T00:00:00
PROP-0000098,5049 Cypress Dr,Jacksonville,FL,34597,Jacksonville County,31.903573,-104.0440581,2019,1100,MASONRY,FLAT,2,VACANT,VE,3,941457.57,2021-08-16T00:00:00,2021-11-04T00:00:00
PROP-0000099,6170 Willow Ave,Augusta,GA,31040,Augusta County,32.9300336,-112.2312463,2001,2300,MASONRY,SHINGLE,1,VACANT,X,2,1447013.91,2020-09-24T00:00:00,2020-11-03T00:00:00
PROP-0000100,2710 Cypress Pl,Augusta,GA,31549,Augusta County,33.4552946,-120.0378398,1974,3300,WOOD,FLAT,3,SECONDARY,C,1,151767.37,2024-04-11T00:00:00,2024-08-15T00:00:00
PROP-0000101,233 Laurel Ave,Rockford,IL,61327,Rockford County,40.0017474,-91.9896452,1986,3300,CONCRETE,SHINGLE,2,SECONDARY,C,5,489814.41,2023-01-04T00:00:00,2023-04-12T00:00:00
PROP-0000102,2046 Cedar Ave,Sacramento,CA,92557,Sacramento County,38.5132529,-109.0802468,2020,3100,MASONRY,TILE,2,VACANT,A,1,135257.83,2021-07-26T00:00:00,2021-10-19T00:00:00
PROP-0000103,8546 Cedar Ct,Hattiesburg,MS,39550,Hattiesburg County,27.7625348,-80.4129075,1969,2700,WOOD,METAL,2,VACANT,B,4,1238363.34,2023-05-26T00:00:00,2023-08-28T00:00:00
PROP-0000104,5140 Walnut St,Atlanta,GA,31970,Atlanta County,29.5140174,-95.1539972,2003,4500,WOOD,TILE,2,VACANT,V,5,973215.84,2023-04-10T00:00:00,2023-09-15T00:00:00
PROP-0000105,9480 Hickory Ave,Mobile,AL,35612,Mobile County,32.4976556,-105.5736669,1981,3400,MANUFACTURED,TILE,2,VACANT,A,2,816530.16,2020-03-05T00:00:00,2020-07-26T00:00:00
PROP-0000106,5240 Cedar Pl,Macon,GA,31753,Macon County,34.2866447,-94.2617826,2017,4900,MANUFACTURED,METAL,2,SECONDARY,VE,3,872483.04,2022-02-10T00:00:00,2022-04-08T00:00:00
PROP-0000107,8111 Magnolia Pl,Wilmington,NC,28181,Wilmington County,40.8729064,-89.0021643,1976,2500,CONCRETE,SHINGLE,2,VACANT,X,3,1435544.59,2023-11-14T00:00:00,2023-12-21T00:00:00
PROP-0000108,1394 Magnolia Pl,Charlotte,NC,27871,Charlotte County,28.6377757,-87.570125,1986,2500,WOOD,WOOD_SHAKE,1,PRIMARY,VE,2,152086.91,2024-01-02T00:00:00,2024-05-16T00:00:00
PROP-0000109,6871 Magnolia Pl,Columbia,SC,29197,Columbia County,38.103023,-123.7720164,1956,4300,MASONRY,FLAT,2,VACANT,X500,2,1153393.7,2020-07-24T00:00:00,2020-10-05T00:00:00
PROP-0000110,1565 Pecan Dr,Augusta,GA,31714,Augusta County,40.5249053,-116.2971499,1957,1900,FRAME,FLAT,2,SECONDARY,B,1,93159.38,2024-04-23T00:00:00,2024-09-15T00:00:00
PROP-0000111,7544 Pecan Pl,Chicago,IL,62827,Chicago County,39.4680156,-103.4070862,1992,2000,FRAME,METAL,1,VACANT,B,2,99999.56,2021-08-05T00:00:00,2021-10-30T00:00:00
PROP-0000112,6743 Laurel Way,Raleigh,NC,28651,Raleigh County,26.4745421,-94.5527424,1972,1900,MASONRY,FLAT,1,SECONDARY,A,3,624675.63,2023-06-05T00:00:00,2023-09-27T00:00:00
PROP-0000113,9486 Oak Ln,Wilmington,NC,28198,Wilmington County,29.0171438,-94.6174109,1988,3700,CONCRETE,TILE,2,RENTAL,AE,3,601912.34,2023-04-07T00:00:00,2023-06-02T00:00:00
PROP-0000114,7554 Hickory Ct,Columbia,SC,29699,Columbia County,34.3369866,-103.2835646,2011,4200,MANUFACTURED,TILE,2,PRIMARY,X500,5,1079347.9,2020-11-09T00:00:00,2020-11-28T00:00:00
PROP-0000115,8381 Pine Blvd,Chicago,IL,60551,Chicago County,39.5262621,-104.5590157,1957,2100,MANUFACTURED,SLATE,2,VACANT,A,4,267360.96,2023-01-26T00:00:00,2023-05-12T00:00:00
PROP-0000116,5149 Hickory St,Jackson,MS,39242,Jackson County,38.8797048,-91.1846028,2021,4500,FRAME,SHINGLE,2,PRIMARY,A,1,1480314.89,2022-08-04T00:00:00,2022-12-02T00:00:00
PROP-0000117,2318 Walnut Way,Orlando,FL,33158,Orlando County,32.6251313,-83.6469366,2002,3200,STEEL,SHINGLE,2,SECONDARY,C,1,333432.55,2021-01-03T00:00:00,2021-05-20T00:00:00
PROP-0000118,472 Elm Pl,Mobile,AL,36764,Mobile County,34.0428713,-87.7721408,1978,2300,STEEL,METAL,1,SECONDARY,AE,1,1229459.02,2020-01-08T00:00:00,2020-04-24T00:00:00
PROP-0000119,1202 Maple St,Chicago,IL,61486,Chicago County,36.4244018,-85.6226536,1980,2300,MANUFACTURED,SHINGLE,2,SECONDARY,VE,1,278992.52,2021-02-26T00:00:00,2021-05-11T00:00:00
PROP-0000120,5353 Pine Ln,Myrtle Beach,SC,29294,Myrtle Beach County,33.8612679,-105.8033509,2023,2500,FRAME,SLATE,3,SECONDARY,X,5,783781.52,2023-05-09T00:00:00,2023-08-05T00:00:00
PROP-0000121,2544 Elm Way,Huntsville,AL,35578,Huntsville County,33.0498199,-86.628999,2003,2700,MANUFACTURED,TILE,2,PRIMARY,X,4,871347.2,2022-04-16T00:00:00,2022-05-20T00:00:00
PROP-0000122,5511 Pecan Ave,Mobile,AL,36457,Mobile County,26.5718879,-92.1182727,1982,2000,FRAME,METAL,1,PRIMARY,AE,2,1222603.88,2021-02-20T00:00:00,2021-07-20T00:00:00
PROP-0000123,5555 Elm St,San Francisco,CA,91334,San Francisco County,41.3553185,-118.8380872,2011,3800,MASONRY,WOOD_SHAKE,2,SECONDARY,X,2,863952.6,2021-03-03T00:00:00,2021-05-14T00:00:00
PROP-0000124,5986 Elm Ln,Montgomery,AL,36175,Montgomery County,40.0078032,-103.4958211,2018,3800,CONCRETE,TILE,1,VACANT,A,5,1307000.47,2023-08-21T00:00:00,2023-09-27T00:00:00
