claim_id,policy_id,claim_date,reported_date,closed_date,claim_type,claim_status,claim_amount,approved_amount,deductible_applied,adjuster_id,cause_of_loss,description,created_at,updated_at
CLM-0000043,POL-0000255,2024-06-25,2024-06-26,,MOLD,UNDER_REVIEW,84482.04,0,0,ADJ-0123,VANDALISM,Claim for vandalism damage,2024-06-26T00:00:00,2024-07-07T00:00:00
CLM-0000044,POL-0000262,2022-01-17,2022-01-31,,MOLD,REOPENED,147687.19,0,0,ADJ-0011,VANDALISM,Claim for wind damage,2022-01-31T00:00:00,2022-02-15T00:00:00
CLM-0000045,POL-0000273,2024-04-08,2024-04-11,,MOLD,REOPENED,187168.73,0,0,ADJ-0167,TORNADO,Claim for sinkhole damage,2024-04-11T00:00:00,2024-04-16T00:00:00
CLM-0000046,POL-0000273,2024-02-12,2024-02-23,,HAIL,DENIED,150876.72,0,0,ADJ-0177,THEFT,Claim for hail damage,2024-02-23T00:00:00,2024-02-29T00:00:00
CLM-0000047,POL-0000276,2022-11-12,2022-11-22,2022-12-15,WATER_DAMAGE,CLOSED,38753.28,27617.47,1500.0,ADJ-0024,TREE_FALL,Claim for hail damage,2022-11-22T00:00:00,2022-12-15T00:00:00
CLM-0000048,POL-0000282,2025-05-21,2025-05-31,,THEFT,OPEN,49430.73,0,0,ADJ-0103,FLOOD,Claim for hail damage,2025-05-31T00:00:00,2025-06-17T00:00:00
CLM-0000049,POL-0000282,2025-03-28,2025-03-28,,LIABILITY,OPEN,71016.34,0,0,ADJ-0163,FIRE,Claim for tornado damage,2025-03-28T00:00:00,2025-04-10T00:00:00
CLM-0000050,POL-0000284,2022-12-02,2022-12-16,,MOLD,OPEN,118170.12,0,0,ADJ-0164,BURST_PIPE,Claim for vandalism damage,2022-12-16T00:00:00,2023-01-15T00:00:00
CLM-0000051,POL-0000285,2024-04-06,2024-04-12,,WIND_DAMAGE,APPROVED,124477.26,117164.89,1000.0,ADJ-0113,FLOOD,Claim for fire damage,2024-04-12T00:00:00,2024-05-11T00:00:00
CLM-0000052,POL-0000292,2024-08-15,2024-08-29,,WATER_DAMAGE,APPROVED,204298.43,192034.21,5000.0,ADJ-0040,FIRE,Claim for hurricane damage,2024-08-29T00:00:00,2024-09-25T00:00:00
CLM-0000053,POL-0000292,2024-12-30,2024-12-31,2025-02-10,MOLD,CLOSED,206325.87,170343.39,5000.0,ADJ-0019,HURRICANE,Claim for lightning damage,2024-12-31T00:00:00,2025-02-10T00:00:00
CLM-0000054,POL-0000294,2023-01-12,2023-01-23,2023-05-17,OTHER,CLOSED,65296.47,44510.14,2500.0,ADJ-0075,FIRE,Claim for tree fall damage,2023-01-23T00:00:00,2023-05-17T00:00:00
CLM-0000055,POL-0000298,2025-06-16,2025-06-22,,HAIL,OPEN,99700.17,0,0,ADJ-0149,WIND,Claim for flood damage,2025-06-22T00:00:00,2025-07-15T00:00:00
CLM-0000056,POL-0000298,2026-01-29,2026-02-02,,PROPERTY_DAMAGE,DENIED,130525.76,0,0,ADJ-0088,HURRICANE,Claim for wind damage,2026-02-02T00:00:00,2026-02-11T00:00:00
CLM-0000057,POL-0000300,2021-09-26,2021-09-30,,THEFT,OPEN,29530.25,0,0,ADJ-0027,FLOOD,Claim for theft damage,2021-09-30T00:00:00,2021-10-02T00:00:00
CLM-0000058,POL-0000305,2024-07-13,2024-07-19,,HAIL,DENIED,137617.06,0,0,ADJ-0122,THEFT,Claim for fire damage,2024-07-19T00:00:00,2024-08-04T00:00:00
CLM-0000059,POL-0000309,2022-01-02,2022-01-14,,THEFT,DENIED,54213.56,0,0,ADJ-0042,BURST_PIPE,Claim for tree fall damage,2022-01-14T00:00:00,2022-01-30T00:00:00
CLM-0000060,POL-0000310,2021-07-01,2021-07-13,,MOLD,DENIED,28323.05,0,0,ADJ-0156,FIRE,Claim for tree fall damage,2021-07-13T00:00:00,2021-08-04T00:00:00
CLM-0000061,POL-0000313,2022-12-15,2022-12-21,,FLOOD,REOPENED,170739.81,0,0,ADJ-0080,FLOOD,Claim for fire damage,2022-12-21T00:00:00,2022-12-23T00:00:00
CLM-0000062,POL-0000322,2022-09-08,2022-09-21,2022-11-09,FIRE,CLOSED,148984.67,80037.47,2000.0,ADJ-0007,HAIL,Claim for sinkhole damage,2022-09-21T00:00:00,2022-11-09T00:00:00
CLM-0000063,POL-0000327,2026-03-09,2026-03-18,,HAIL,APPROVED,162658.62,77146.63,5000.0,ADJ-0002,WIND,Claim for tornado damage,2026-03-18T00:00:00,2026-04-10T00:00:00
CLM-0000064,POL-0000329,2024-06-16,2024-06-27,,PROPERTY_DAMAGE,REOPENED,198430.39,0,0,ADJ-0134,BURST_PIPE,Claim for hurricane damage,2024-06-27T00:00:00,2024-07-20T00:00:00
CLM-0000065,POL-0000329,2025-04-08,2025-04-12,,FLOOD,UNDER_REVIEW,88877.93,0,0,ADJ-0149,VANDALISM,Claim for tornado damage,2025-04-12T00:00:00,2025-04-30T00:00:00
CLM-0000066,POL-0000329,2024-11-08,2024-11-19,,PROPERTY_DAMAGE,UNDER_REVIEW,15944.98,0,0,ADJ-0195,THEFT,Claim for fire damage,2024-11-19T00:00:00,2024-11-30T00:00:00
CLM-0000067,POL-0000334,2024-12-08,2024-12-21,2025-01-04,WIND_DAMAGE,CLOSED,179920.4,55801.92,1500.0,ADJ-0071,TORNADO,Claim for fire damage,2024-12-21T00:00:00,2025-01-04T00:00:00
CLM-0000068,POL-0000339,2021-08-14,2021-08-17,,WIND_DAMAGE,REOPENED,122796.47,0,0,ADJ-0050,TREE_FALL,Claim for theft damage,2021-08-17T00:00:00,2021-08-19T00:00:00
CLM-0000069,POL-0000339,2021-11-28,2021-12-11,,WIND_DAMAGE,UNDER_REVIEW,115711.3,0,0,ADJ-0186,THEFT,Claim for flood damage,2021-12-11T00:00:00,2021-12-19T00:00:00
CLM-0000070,POL-0000340,2021-04-18,2021-05-01,,PROPERTY_DAMAGE,UNDER_REVIEW,203554.7,0,0,ADJ-0167,HAIL,Claim for sinkhole damage,2021-05-01T00:00:00,2021-05-09T00:00:00
CLM-0000071,POL-0000340,2021-05-14,2021-05-25,,HAIL,OPEN,142197.56,0,0,ADJ-0079,FIRE,Claim for lightning damage,2021-05-25T00:00:00,2021-06-03T00:00:00
CLM-0000072,POL-0000340,2021-11-18,2021-11-23,,FIRE,OPEN,103195.21,0,0,ADJ-0093,HURRICANE,Claim for burst pipe damage,2021-11-23T00:00:00,2021-12-03T00:00:00
CLM-0000073,POL-0000345,2023-10-30,2023-11-04,,FLOOD,APPROVED,215619.62,68420.76,2000.0,ADJ-0126,SINKHOLE,Claim for theft damage,2023-11-04T00:00:00,2023-11-23T00:00:00
CLM-0000074,POL-0000350,2022-01-23,2022-02-03,,THEFT,DENIED,5577.66,0,0,ADJ-0100,TREE_FALL,Claim for fire damage,2022-02-03T00:00:00,2022-02-18T00:00:00
CLM-0000075,POL-0000351,2022-10-01,2022-10-08,,PROPERTY_DAMAGE,REOPENED,248623.92,0,0,ADJ-0054,FLOOD,Claim for fire damage,2022-10-08T00:00:00,2022-10-12T00:00:00
CLM-0000076,POL-0000357,2022-05-31,2022-06-02,,FLOOD,UNDER_REVIEW,220566.29,0,0,ADJ-0011,HAIL,Claim for fire damage,2022-06-02T00:00:00,2022-06-05T00:00:00
CLM-0000077,POL-0000358,2023-07-06,2023-07-16,,WIND_DAMAGE,OPEN,26614.79,0,0,ADJ-0160,TREE_FALL,Claim for flood damage,2023-07-16T00:00:00,2023-07-31T00:00:00
CLM-0000078,POL-0000365,2023-07-27,2023-08-06,,LIABILITY,DENIED,116554.24,0,0,ADJ-0082,WIND,Claim for tornado damage,2023-08-06T00:00:00,2023-08-15T00:00:00
CLM-0000079,POL-0000366,2022-07-29,2022-08-01,,THEFT,OPEN,62342.4,0,0,ADJ-0036,FIRE,Claim for wind damage,2022-08-01T00:00:00,2022-08-08T00:00:00
CLM-0000080,POL-0000366,2022-05-02,2022-05-05,,MOLD,UNDER_REVIEW,59503.95,0,0,ADJ-0022,SINKHOLE,Claim for tree fall damage,2022-05-05T00:00:00,2022-05-16T00:00:00
CLM-0000081,POL-0000382,2025-12-17,2025-12-30,,FLOOD,DENIED,209045.43,0,0,ADJ-0055,FLOOD,Claim for sinkhole damage,2025-12-30T00:00:00,2026-01-10T00:00:00
CLM-0000082,POL-0000382,2025-12-07,2025-12-08,2026-05-18,FIRE,CLOSED,75082.14,35776.47,1000.0,ADJ-0132,HURRICANE,Claim for hurricane damage,2025-12-08T00:00:00,2026-05-18T00:00:00
CLM-0000083,POL-0000388,2023-06-07,2023-06-16,,OTHER,REOPENED,153009.87,0,0,ADJ-0052,TREE_FALL,Claim for theft damage,2023-06-16T00:00:00,2023-06-26T00:00:00
CLM-0000084,POL-0000396,2023-06-21,2023-07-01,,FIRE,UNDER_REVIEW,247694.13,0,0,ADJ-0070,HAIL,Claim for fire damage,2023-07-01T00:00:00,2023-07-12T00:00:00
CLM-0000085,POL-0000414,2024-05-09,2024-05-14,,MOLD,DENIED,131749.29,0,0,ADJ-0014,TORNADO,Claim for hail damage,2024-05-14T00:00:00,2024-05-22T00:00:00
CLM-0000086,POL-0000414,2024-03-11,2024-03-15,2024-04-08,HAIL,CLOSED,18263.45,12925.21,2500.0,ADJ-0046,TREE_FALL,Claim for lightning damage,2024-03-15T00:00:00,2024-04-08T00:00:00
CLM-0000087,POL-0000414,2023-12-23,2024-01-02,,OTHER,UNDER_REVIEW,99462.49,0,0,ADJ-0098,BURST_PIPE,Claim for burst pipe damage,2024-01-02T00:00:00,2024-01-17T00:00:00
CLM-0000088,POL-0000432,2025-10-17,2025-10-20,,THEFT,OPEN,218328.35,0,0,ADJ-0052,LIGHTNING,Claim for fire damage,2025-10-20T00:00:00,2025-11-17T00:00:00
CLM-0000089,POL-0000434,2023-06-26,2023-07-03,,PROPERTY_DAMAGE,REOPENED,240029.15,0,0,ADJ-0178,HAIL,Claim for tornado damage,2023-07-03T00:00:00,2023-07-28T00:00:00
CLM-0000090,POL-0000442,2021-10-01,2021-10-15,,MOLD,DENIED,91675.79,0,0,ADJ-0156,HURRICANE,Claim for sinkhole damage,2021-10-15T00:00:00,2021-10-21T00:00:00
CLM-0000091,POL-0000444,2025-12-05,2025-12-13,2026-05-18,FIRE,CLOSED,237842.68,112792.51,5000.0,ADJ-0125,LIGHTNING,Claim for hurricane damage,2025-12-13T00:00:00,2026-05-18T00:00:00
CLM-0000092,POL-0000459,2023-10-30,2023-11-08,,THEFT,DENIED,43809.21,0,0,ADJ-0071,LIGHTNING,Claim for hurricane damage,2023-11-08T00:00:00,2023-12-01T00:00:00
CLM-0000093,POL-0000459,2023-01-17,2023-01-28,,OTHER,REOPENED,247056.23,0,0,ADJ-0176,HAIL,Claim for hail damage,2023-01-28T00:00:00,2023-02-10T00:00:00
CLM-0000094,POL-0000465,2021-12-28,2022-01-07,,THEFT,UNDER_REVIEW,15825.25,0,0,ADJ-0018,SINKHOLE,Claim for flood damage,2022-01-07T00:00:00,2022-01-29T00:00:00
CLM-0000095,POL-0000467,2023-02-27,2023-03-02,2023-08-01,HAIL,CLOSED,237156.42,138011.32,500.0,ADJ-0045,LIGHTNING,Claim for vandalism damage,2023-03-02T00:00:00,2023-08-01T00:00:00
CLM-0000096,POL-0000469,2024-02-13,2024-02-18,,FLOOD,REOPENED,187130.3,0,0,ADJ-0001,THEFT,Claim for theft damage,2024-02-18T00:00:00,2024-03-12T00:00:00
CLM-0000097,POL-0000470,2023-09-27,2023-09-30,,FLOOD,REOPENED,207309.43,0,0,ADJ-0109,TORNADO,Claim for hail damage,2023-09-30T00:00:00,2023-10-08T00:00:00
CLM-0000098,POL-0000470,2024-04-12,2024-04-22,,FLOOD,APPROVED,14524.1,5028.6,5000.0,ADJ-0172,WIND,Claim for theft damage,2024-04-22T00:00:00,2024-05-22T00:00:00
CLM-0000099,POL-0000474,2025-10-04,2025-10-16,,MOLD,REOPENED,165415.59,0,0,ADJ-0085,BURST_PIPE,Claim for hurricane damage,2025-10-16T00:00:00,2025-10-25T00:00:00
CLM-0000100,POL-0000481,2022-07-18,2022-07-20,,LIABILITY,OPEN,10174.46,0,0,ADJ-0194,BURST_PIPE,Claim for sinkhole damage,2022-07-20T00:00:00,2022-08-04T00:00:00
CLM-0000101,POL-0000486,2022-04-07,2022-04-20,,WIND_DAMAGE,OPEN,33674.99,0,0,ADJ-0160,SINKHOLE,Claim for wind damage,2022-04-20T00:00:00,2022-05-06T00:00:00
CLM-0000102,POL-0000489,2025-06-03,2025-06-16,,HAIL,UNDER_REVIEW,68459.48,0,0,ADJ-0171,FIRE,Claim for tornado damage,2025-06-16T00:00:00,2025-07-07T00:00:00
CLM-0000103,POL-0000501,2026-03-31,2026-04-09,,FLOOD,UNDER_REVIEW,222413.81,0,0,ADJ-0099,THEFT,Claim for sinkhole damage,2026-04-09T00:00:00,2026-04-30T00:00:00
CLM-0000104,POL-0000501,2025-12-22,2025-12-26,2026-03-23,LIABILITY,CLOSED,119207.38,51118.06,1500.0,ADJ-0005,HURRICANE,Claim for hurricane damage,2025-12-26T00:00:00,2026-03-23T00:00:00
CLM-0000105,POL-0000507,2024-12-19,2024-12-20,2025-02-10,FIRE,CLOSED,41874.96,21895.23,5000.0,ADJ-0167,TREE_FALL,Claim for vandalism damage,2024-12-20T00:00:00,2025-02-10T00:00:00
CLM-0000106,POL-0000527,2025-07-17,2025-07-30,,THEFT,REOPENED,35298.17,0,0,ADJ-0010,TREE_FALL,Claim for hurricane damage,2025-07-30T00:00:00,2025-08-04T00:00:00
CLM-0000107,POL-0000530,2024-01-05,2024-01-09,,LIABILITY,APPROVED,247251.64,208665.49,1500.0,ADJ-0182,VANDALISM,Claim for burst pipe damage,2024-01-09T00:00:00,2024-01-28T00:00:00
CLM-0000108,POL-0000532,2022-04-02,2022-04-05,,FLOOD,DENIED,48644.93,0,0,ADJ-0041,TREE_FALL,Claim for theft damage,2022-04-05T00:00:00,2022-04-13T00:00:00
CLM-0000109,POL-0000536,2024-02-02,2024-02-03,,OTHER,OPEN,204143.96,0,0,ADJ-0013,LIGHTNING,Claim for tree fall damage,2024-02-03T00:00:00,2024-02-22T00:00:00
CLM-0000110,POL-0000536,2024-09-08,2024-09-20,,PROPERTY_DAMAGE,REOPENED,103062.76,0,0,ADJ-0058,WIND,Claim for hurricane damage,2024-09-20T00:00:00,2024-10-12T00:00:00
CLM-0000111,POL-0000539,2023-01-12,2023-01-24,,FLOOD,OPEN,63414.13,0,0,ADJ-0103,LIGHTNING,Claim for tornado damage,2023-01-24T00:00:00,2023-02-05T00:00:00
CLM-0000112,POL-0000539,2022-08-26,2022-09-03,2023-01-15,FIRE,CLOSED,149021.47,86298.24,1500.0,ADJ-0095,LIGHTNING,Claim for fire damage,2022-09-03T00:00:00,2023-01-15T00:00:00
CLM-0000113,POL-0000545,2024-03-11,2024-03-21,,WATER_DAMAGE,UNDER_REVIEW,165641.64,0,0,ADJ-0032,WIND,Claim for fire damage,2024-03-21T00:00:00,2024-03-30T00:00:00
CLM-0000114,POL-0000550,2021-11-01,2021-11-04,,FIRE,APPROVED,171337.67,81046.45,2500.0,ADJ-0126,WIND,Claim for flood damage,2021-11-04T00:00:00,2021-11-25T00:00:00
CLM-0000115,POL-0000550,2021-05-27,2021-06-01,,WATER_DAMAGE,UNDER_REVIEW,73824.88,0,0,ADJ-0121,HURRICANE,Claim for flood damage,2021-06-01T00:00:00,2021-06-28T00:00:00
CLM-0000116,POL-0000564,2024-10-31,2024-11-07,,PROPERTY_DAMAGE,APPROVED,21256.37,13775.44,2500.0,ADJ-0182,HAIL,Claim for hail damage,2024-11-07T00:00:00,2024-11-08T00:00:00
CLM-0000117,POL-0000564,2024-06-19,2024-07-01,,FLOOD,REOPENED,78913.24,0,0,ADJ-0156,LIGHTNING,Claim for fire damage,2024-07-01T00:00:00,2024-07-24T00:00:00
CLM-0000118,POL-0000565,2021-12-25,2022-01-02,,FIRE,UNDER_REVIEW,248887.38,0,0,ADJ-0074,BURST_PIPE,Claim for tornado damage,2022-01-02T00:00:00,2022-01-19T00:00:00
CLM-0000119,POL-0000574,2022-07-03,2022-07-14,2023-01-10,WIND_DAMAGE,CLOSED,123551.3,108904.48,5000.0,ADJ-0110,HURRICANE,Claim for theft damage,2022-07-14T00:00:00,2023-01-10T00:00:00
CLM-0000120,POL-0000582,2025-06-02,2025-06-02,,FIRE,UNDER_REVIEW,75391.09,0,0,ADJ-0156,TREE_FALL,Claim for hurricane damage,2025-06-02T00:00:00,2025-06-04T00:00:00
CLM-0000121,POL-0000582,2025-05-31,2025-06-13,,PROPERTY_DAMAGE,REOPENED,115580.57,0,0,ADJ-0076,HURRICANE,Claim for hail damage,2025-06-13T00:00:00,2025-07-03T00:00:00
CLM-0000122,POL-0000588,2022-01-25,2022-02-06,,MOLD,DENIED,146954.1,0,0,ADJ-0162,SINKHOLE,Claim for wind damage,2022-02-06T00:00:00,2022-02-21T00:00:00
CLM-0000123,POL-0000590,2022-08-01,2022-08-09,,MOLD,OPEN,124033.59,0,0,ADJ-0079,HURRICANE,Claim for sinkhole damage,2022-08-09T00:00:00,2022-08-21T00:00:00
CLM-0000124,POL-0000598,2025-08-31,2025-09-11,,THEFT,APPROVED,192180.7,115504.24,2500.0,ADJ-0186,FIRE,Claim for wind damage,2025-09-11T00:00:00,2025-10-11T00:00:00
CLM-0000125,POL-0000598,2025-08-13,2025-08-20,2025-12-05,FIRE,CLOSED,7197.53,6072.43,2500.0,ADJ-0042,FIRE,Claim for theft damage,2025-08-20T00:00:00,2025-12-05T00:00:00
CLM-0000126,POL-0000601,2022-12-13,2022-12-21,2023-05-25,WATER_DAMAGE,CLOSED,182949.57,107889.83,5000.0,ADJ-0016,LIGHTNING,Claim for hurricane damage,2022-12-21T00:00:00,2023-05-25T00:00:00
CLM-0000127,POL-0000601,2022-12-30,2023-01-12,,PROPERTY_DAMAGE,APPROVED,165885.16,160766.04,5000.0,ADJ-0126,SINKHOLE,Claim for lightning damage,2023-01-12T00:00:00,2023-01-21T00:00:00
CLM-0000128,POL-0000602,2025-06-24,2025-06-24,,OTHER,APPROVED,92893.63,74168.38,5000.0,ADJ-0069,TORNADO,Claim for tornado damage,2025-06-24T00:00:00,2025-07-15T00:00:00
CLM-0000129,POL-0000604,2022-05-21,2022-05-28,,MOLD,DENIED,246293.16,0,0,ADJ-0039,BURST_PIPE,Claim for vandalism damage,2022-05-28T00:00:00,2022-06-19T00:00:00
